"cod_cent";"id";"nombre";"tipo_elem";"st_x";"st_y"
"PM42353";6800;"PM42353";"M-30";436967.629891895;4478619.01514567
"PM40011";10198;"PM40011";"M-30";444231.772121954;4483972.50822816
"PM43001";6801;"PM43001";"M-30";441236.659822603;4482123.98881866
"PM43011";6802;"PM43011";"M-30";440993.348771647;4482370.37489271
"PM41853";7012;"PM41853";"M-30";435317.951479879;4472554.39968016
"PM43223";7015;"PM43223";"M-30";443129.253363934;4482014.53884279
"PM10578";10266;"PM10578";"M-30";444094.915396362;4476432.53968977
"PM20667";10194;"PM20667";"M-30";444132.12680907;4475607.55013419
"PM10293";0;"PM10293";"M-30";443703.091848348;4479241.79888188
"PM10533";10172;"PM10533";"M-30";444178.697805403;4476903.51355804
"PM10593";10173;"PM10593";"M-30";444087.051440966;4476291.2531173
"PM20394";10171;"PM20394";"M-30";443918.120909884;4478258.48422561
"PM20864";6748;"PM20864";"M-30";443861.195333044;4473724.3548867
"PM40012";10200;"PM40012";"M-30";444210.768106248;4483986.27417673
"PM40014";10201;"PM40014";"M-30";444224.223085174;4483977.21015941
"PM43022";3706;"PM43022";"M-30";440786.63903486;4483015.57326723
"PM42351";6798;"PM42351";"M-30";436954.914386044;4478717.19879964
"04TL40PM04";6903;"04TL40PM04";"M-30";444704.11489558;4473025.72729059
"08RR02PM01";1050;"08RR02PM01";"M-30";443616.859872378;4472987.76522457
"08RR18PM01";6896;"08RR18PM01";"M-30";443710.586289085;4473084.68686003
"12XC06PM01";6876;"12XC06PM01";"M-30";441971.335891217;4471349.987069
"12XC63PM01";6874;"12XC63PM01";"M-30";441472.442805158;4471392.82493072
"14RA15PM01";1025;"14RA15PM01";"M-30";440505.050283578;4472048.00431968
"15RR22PM01";1037;"15RR22PM01";"M-30";439601.645922205;4472331.07542969
"14NL78PM01";6866;"14NL78PM01";"M-30";440099.943648633;4472185.80884867
"15RN03PM01";1034;"15RN03PM01";"M-30";439198.68897256;4472525.9866622
"18RC06PM01";6833;"18RC06PM01";"M-30";438893.396385442;4474530.01051602
"PM43201";6809;"PM43201";"M-30";444174.710576428;4481793.24434401
"PM43202";6810;"PM43202";"M-30";444177.154477218;4481801.88080255
"15RU11PM01";1035;"15RU11PM01";"M-30";439598.608508946;4472312.28295368
"PM43221";6933;"PM43221";"M-30";443112.515507936;4481916.5407822
"PM20942";10179;"PM20942";"M-30";443592.843474095;4472998.93416781
"15RV01PM01";6862;"15RV01PM01";"M-30";439708.499196813;4472495.32706034
"05FT37PM01";1002;"05FT37PM01";"M-30";437001.507305578;4473519.09024092
